regionCode,region,icuTotal,lastUpdated
ES01,Andalusia,678,1586202152
ES02,Aragon,172,1586202152
ES03,Asturias,219,1586202152
ES04,Balearic Islands,96,1586202152
ES05,Canary Islands,220,1586202152
ES06,Cantabria,68,1586202152
ES07,Castilla la Mancha,185,1586202152
ES08,Castilla Leon,267,1586202152
ES09,Catalonia,890,1586202152
ES10,Madrid,1044,1586202152
ES11,Valencia,529,1586202152
ES12,Extremadura,143,1586202152
ES13,Galicia,582,1586202152
ES14,La Rioja,17,1586202152
ES15,Murcia,123,1586202152
ES16,Navarre,55,1586202152
ES17,Basque Country,308,1586202152
